,Acc,Round
0,0.933,0
1,1.0,1
2,1.0,2
3,1.0,3
4,1.0,4
5,1.0,5
6,1.0,6
7,1.0,7
8,1.0,8
9,1.0,9
10,1.0,10
11,1.0,11
12,1.0,12
13,1.0,13
14,0.9998333333333334,14
15,1.0,15
16,1.0,16
17,1.0,17
18,1.0,18
19,1.0,19
20,1.0,20
21,0.7903333333333333,0
22,0.9326666666666666,1
23,0.9356666666666666,2
24,0.9985,3
25,0.9996666666666667,4
26,1.0,5
27,1.0,6
28,0.9998333333333334,7
29,0.9918333333333333,8
30,0.9983333333333333,9
31,0.9996666666666667,10
32,0.999,11
33,0.9991666666666666,12
34,0.9996666666666667,13
35,0.9996666666666667,14
36,0.9976666666666667,15
37,0.9956666666666667,16
38,0.9996666666666667,17
39,1.0,18
40,0.9998333333333334,19
41,0.9958333333333333,20
42,0.8955,0
43,0.9973333333333333,1
44,0.9966666666666667,2
45,1.0,3
46,1.0,4
47,1.0,5
48,1.0,6
49,1.0,7
50,1.0,8
51,1.0,9
52,1.0,10
53,1.0,11
54,1.0,12
55,1.0,13
56,1.0,14
57,1.0,15
58,0.9985,16
59,1.0,17
60,1.0,18
61,1.0,19
62,1.0,20
63,0.6685,0
64,0.9515,1
65,0.9841666666666666,2
66,0.9881666666666666,3
67,0.9885,4
68,1.0,5
69,0.9996666666666667,6
70,0.9996666666666667,7
71,0.9998333333333334,8
72,0.9988333333333334,9
73,0.9998333333333334,10
74,0.9995,11
75,0.9998333333333334,12
76,0.9983333333333333,13
77,0.9961666666666666,14
78,1.0,15
79,0.9965,16
80,0.9985,17
81,0.994,18
82,0.9908333333333333,19
83,0.9955,20
84,0.7726666666666666,0
85,0.978,1
86,1.0,2
87,0.9998333333333334,3
88,1.0,4
89,0.9998333333333334,5
90,1.0,6
91,0.9998333333333334,7
92,0.9998333333333334,8
93,0.999,9
94,0.9986666666666667,10
95,0.9988333333333334,11
96,0.9805,12
97,0.9971666666666666,13
98,0.998,14
99,0.9558333333333333,15
100,0.9771666666666666,16
101,0.9448333333333333,17
102,0.9545,18
103,0.9383333333333334,19
104,0.9981666666666666,20
105,0.9945,0
106,0.9993333333333333,1
107,1.0,2
108,0.9998333333333334,3
109,1.0,4
110,1.0,5
111,1.0,6
112,1.0,7
113,1.0,8
114,1.0,9
115,1.0,10
116,1.0,11
117,1.0,12
118,1.0,13
119,1.0,14
120,1.0,15
121,1.0,16
122,1.0,17
123,1.0,18
124,1.0,19
125,1.0,20
126,0.9118333333333334,0
127,0.9993333333333333,1
128,0.9996666666666667,2
129,0.9991666666666666,3
130,1.0,4
131,1.0,5
132,1.0,6
133,1.0,7
134,1.0,8
135,1.0,9
136,1.0,10
137,1.0,11
138,1.0,12
139,1.0,13
140,0.9998333333333334,14
141,1.0,15
142,0.9998333333333334,16
143,1.0,17
144,0.9991666666666666,18
145,0.9998333333333334,19
146,1.0,20
147,0.8998333333333334,0
148,0.9613333333333334,1
149,0.9998333333333334,2
150,0.9986666666666667,3
151,1.0,4
152,1.0,5
153,1.0,6
154,1.0,7
155,1.0,8
156,1.0,9
157,1.0,10
158,1.0,11
159,1.0,12
160,1.0,13
161,1.0,14
162,1.0,15
163,1.0,16
164,1.0,17
165,1.0,18
166,1.0,19
167,1.0,20
168,0.9265,0
169,1.0,1
170,0.9998333333333334,2
171,1.0,3
172,1.0,4
173,1.0,5
174,1.0,6
175,1.0,7
176,1.0,8
177,1.0,9
178,1.0,10
179,1.0,11
180,1.0,12
181,1.0,13
182,1.0,14
183,1.0,15
184,1.0,16
185,1.0,17
186,1.0,18
187,1.0,19
188,1.0,20
189,0.7401666666666666,0
190,0.9708333333333333,1
191,0.9691666666666666,2
192,0.9921666666666666,3
193,0.9965,4
194,0.9988333333333334,5
195,0.9998333333333334,6
196,0.9998333333333334,7
197,0.9981666666666666,8
198,0.999,9
199,0.9971666666666666,10
200,0.999,11
201,0.9973333333333333,12
202,0.996,13
203,0.9981666666666666,14
204,0.9981666666666666,15
205,0.999,16
206,0.9976666666666667,17
207,0.9978333333333333,18
208,0.9935,19
209,0.9878333333333333,20
